id,query_duration_ms,memory_usage,read_rows,read_bytes,written_rows,written_bytes,result_rows,result_bytes
revenue trend graph,10,4169953,65536,2136066,0,0,35,606
revenue trend stats,28,9428916,147456,6911428,0,0,2,768
users,2012,33753002,28431197,1553443239,0,0,1,1536
revenue,12,3221256,49152,1534188,0,0,1,1024
revenue graph,13,3220368,49152,1534188,0,0,35,2816
payers,12,6636938,65536,3140031,0,0,1,1024
stop rate analysis regular_timer graph,24,3763149,10834985,14221839,0,0,0,0
stop rate analysis regular_timer stats,30,4276802,24204500,28756928,0,0,1,1536
cpt regular_timer,38,4561601,24204500,28756928,0,0,1,1536
top selling plans,192,15606666,143798204,41658309,0,0,2,3856
rpt regular_timer,26,4259577,24204500,28788045,0,0,1,1280
stop rate analysis stats,36,8075151,24237268,45296791,0,0,1,1536
stop rate analysis regwall graph,830,34917923,10843177,621555121,0,0,24,2560
stop rate analysis regwall stats,34,6333836,24212692,28661702,0,0,1,1536
stop rate analysis graph,828,34254600,10859561,639008894,0,0,24,2560
rpt,1803,11486143,24204500,1329848649,0,0,1,1280
premium content insight,144,33502006,14155803,757174528,0,0,1,640
content analysis,796,410835167,26424083,3884158306,0,0,20,11776
dormant users reg_subs_micro,289,12471379,67359378,1313795662,0,0,31,768
cpt slp,1810,35204008,24204500,1386993783,0,0,1,1536
cpt,1817,35123226,24237268,1411329969,0,0,1,1536
users graph,1027,36107475,13721155,758577038,0,0,31,1792
dormant users,247,6481679,67179904,1255578947,0,0,31,768
payer graph,12,6647202,65536,3140031,0,0,30,2816
wapu mapu,408,35013719,23853294,972861798,0,0,1,1024
user retention subs_micropayer_reg,550,20685427,134539282,2575952944,0,0,9,400
rpt slp,1803,14031508,24204500,1366902952,0,0,1,1280
user retention,483,36462646,134376192,2513740788,0,0,19,560
cpt regwall,40,7109480,24237268,29469754,0,0,1,1536
